BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSixteenBitAdder/Adding_0000000000000000_to_0000000000000000_with_carry_in_of_<nil>-8         	2000000000	         0.00 ns/op	       0 B/op	       0 allocs/op
